,iso_code,continent,location,total_deaths_per_million,density,gdp,life_expectancy
105,LSO,Africa,Lesotho,307.699,70.5616600790514,1050.63163365737,54.836
106,LBR,Africa,Liberia,56.61,52.5091050664452,601.063005802862,64.423
107,LBY,Africa,Libya,954.823,3.90516100799072,7614.32544908885,73.082
108,LIE,Europe,Liechtenstein,2202.925,238.35625,,81.8073170731707
109,LTU,Europe,Lithuania,3303.966,44.6253392942679,20232.3020358588,74.9292682926829
110,LUX,Europe,Luxembourg,1734.653,259.431687242798,116356.158037286,81.7414634146342
111,MAC,Asia,Macao,8.739,19736.8389057751,39403.1359073362,84.37
112,MDG,Africa,Madagascar,48.659,47.5954262633207,477.613041384398,67.39
113,MWI,Africa,Malawi,133.938,202.905759439966,636.286309590051,64.694
114,MYS,Asia,Malaysia,1070.654,98.5116359762593,10412.3476677499,76.306
115,MDV,Asia,Maldives,588.734,1801.80666666667,6924.10574465625,79.208
116,MLI,Africa,Mali,33.737,16.5964595677722,862.453012011092,59.692
117,MLT,Europe,Malta,1503.565,1610.4125,28946.4626770412,82.6536585365854
118,MHL,Oceania,Marshall Islands,,328.855555555556,4129.850998412,
119,MRT,Africa,Mauritania,214.736,4.51116716794412,1702.48695898248,65.129
120,MUS,Africa,Mauritius,778.342,623.51724137931,8632.75285872458,74.1770731707317
121,MEX,North America,Mexico,2584.047,66.3251385066488,8431.66501744762,75.131
122,FSM,Oceania,Micronesia (country),35.357,164.315714285714,3542.96978797168,68.002
123,MDA,Europe,Moldova,3791.598,91.2355556483986,4525.75965363511,72.006
124,MCO,Europe,Monaco,1662.76,19360.6314750863,173688.189360292,
125,MNG,Asia,Mongolia,632.956,2.10517352649373,4060.95051770038,70.056
126,MNE,Europe,Montenegro,4367.223,46.1937546468401,7694.6337585059,75.9317073170732
127,MAR,Africa,Morocco,437.689,82.7034685189334,3058.69165039063,76.901
128,MOZ,Africa,Mozambique,69.052,39.745968870012,448.843891366822,61.387
129,MMR,Asia,Myanmar,361.24,83.3496131987316,1450.66267347182,67.363
130,NAM,Africa,Namibia,1608.204,3.08629523011333,4157.01950619148,64.045
131,NPL,Asia,Nepal,398.269,203.256421346355,1147.47197125836,71.067
132,NLD,Europe,Netherlands,1289.932,518.013068013068,52396.0322099525,81.409756097561
133,NCL,Oceania,New Caledonia,1091.035,14.8774617067834,34694.5504017028,77.7711707317073
134,NZL,Oceania,New Zealand,288.319,19.3315863430937,41596.5055023403,82.0560975609756
135,NIC,North America,Nicaragua,35.618,55.0486455044042,1900.04359427589,74.697
136,NER,Africa,Niger,12.316,19.1099992105471,567.669892261611,62.792
137,NGA,Africa,Nigeria,14.747,226.335504024068,2097.09247289022,55.018
138,PRK,Asia,North Korea,0.231,214.091977410514,,72.453
139,MKD,Europe,North Macedonia,4453.89,82.1780729579699,5846.46589856854,75.6931707317073
140,NOR,Europe,Norway,670.551,14.7339340964594,67329.6777910967,83.209756097561
141,OMN,Asia,Oman,1023.787,16.4995864297254,14485.3861157973,78.078
142,PAK,Asia,Pakistan,131.732,286.545676369863,1359.51452156874,67.428
143,PLW,Oceania,Palau,332.889,39.3304347826087,14243.8646915764,
144,PSE,Asia,Palestine,1106.091,797.885215946844,3233.56863835858,74.213
145,PAN,North America,Panama,1933.23,58.1685428097658,12509.8352912602,78.68
146,PNG,Oceania,Papua New Guinea,66.637,19.7567173077772,2757.01101864579,64.725
147,PRY,South America,Paraguay,2856.142,17.9525044047319,4967.68721171529,74.363
148,PER,South America,Peru,6351.802,25.7592546875,6117.49357129272,76.947
149,PHL,Asia,Philippines,533.051,367.512107187175,3301.21860257673,71.36
150,POL,Europe,Poland,3042.389,123.784400823072,15742.4537256368,76.6
151,PRT,Europe,Portugal,2389.383,112.406676011074,22194.566114935,80.9756097560976
152,QAT,Asia,Qatar,252.954,250.74499564839,50124.3859361728,80.363
153,ROU,Europe,Romania,3411.273,83.6992350486787,12956.5662477568,74.3536585365854
154,RUS,Europe,Russia,2581.364,8.79735498907911,10161.982421875,71.3387804878049
155,RWA,Africa,Rwanda,108.9,525.018605593839,786.301814784707,69.329
156,KNA,North America,Saint Kitts and Nevis,966.265,204.584615384615,18440.8536789158,
157,LCA,North America,Saint Lucia,2143.032,301.031147540984,8804.56108865238,76.343
158,VCT,North America,Saint Vincent and the Grenadines,1102.251,284.479487179487,7860.82135437107,72.658
159,WSM,Oceania,Samoa,132.563,70.1095406360424,4068.07886505264,73.45
160,SMR,Europe,San Marino,3496.711,565.633333333333,45515.7576957013,
161,STP,Africa,Sao Tome and Principe,331.679,228.292708333333,2157.84044569668,70.583
162,SAU,Asia,Saudi Arabia,257.16,16.1948313477757,20203.6688777651,75.28
163,SEN,Africa,Senegal,116.61,86.9679011063211,1462.80816888438,68.213
164,SRB,Europe,Serbia,2365.261,78.8832151840842,7730.69174637698,74.2292682926829
165,SYC,Africa,Seychelles,1577.909,214.047826086957,12193.8868736001,77.2365853658537
166,SLE,Africa,Sierra Leone,14.844,110.515170407315,509.376593987322,55.066
167,SGP,Asia,Singapore,273.581,8019.47390691114,60729.4503486794,83.7439024390244
168,SVK,Europe,Slovakia,3710.243,113.536335274542,19266.5135736247,76.8658536585366
169,SVN,Europe,Slovenia,3156.539,104.408881428657,25489.5002284083,80.5317073170732
170,SLB,Oceania,Solomon Islands,216.147,24.5401214719543,2250.6011638607,73.132
171,SOM,Africa,Somalia,79.751,25.3342987853477,438.255165584868,57.697
172,ZAF,Africa,South Africa,1717.008,48.8905934431905,5655.86765390396,64.379
173,KOR,Asia,South Korea,482.19,531.54469852338,31597.5046490718,83.4268292682927
174,SSD,Africa,South Sudan,12.839,17.7136110778852,,58.095
175,ESP,Europe,Spain,2324.724,94.8020199835318,27056.4217512166,82.3341463414634
176,LKA,Asia,Sri Lanka,760.008,354.309452993664,3694.0409479198,77.144
177,SDN,Africa,Sudan,108.57,23.712129323794,615.462097167969,65.53
178,SUR,South America,Suriname,2251.282,3.76047435897436,4916.60566637918,71.802
179,SWE,Europe,Sweden,1849.414,25.4190714689057,52300.2061994993,82.4073170731707
180,CHE,Europe,Switzerland,1598.245,218.558417938239,87100.4148213751,83.1
181,SYR,Asia,Syria,147.718,95.3039100364864,,73.651
182,TJK,Asia,Tajikistan,12.82,68.7199510051156,852.830987774963,71.301
183,TZA,Africa,Tanzania,13.226,67.4353273876722,1076.4697265625,65.815
184,THA,Asia,Thailand,437.521,136.624279199045,7158.76668372256,77.344
185,TLS,Asia,Timor,100.686,88.6645595158036,1442.73073825015,69.712
186,TGO,Africa,Togo,32.158,152.210645339217,914.950792453214,61.34
187,TON,Oceania,Tonga,113.189,146.801388888889,4624.82344882844,71.018
188,TTO,North America,Trinidad and Tobago,2651.962,272.805263157895,15285.9404867715,73.628
189,TUN,Africa,Tunisia,2368.191,76.0724639546859,3597.21852540455,76.891
190,TUR,Asia,Turkey,1169.962,109.583913049128,8536.43331960632,77.928
191,TCA,North America,Turks and Caicos Islands,797.978,40.7557894736842,23879.9266491038,
192,UGA,Africa,Uganda,79.121,228.111909036505,822.027681531666,63.713
193,UKR,Europe,Ukraine,2675.056,76.1685346910597,3751.74072265625,71.1851219512195
194,ARE,Asia,United Arab Emirates,249.222,139.262179667699,36284.5552429552,78.12
195,GBR,Europe,United Kingdom,2736.863,277.274418220146,41098.0786527828,80.9024390243903
196,USA,North America,United States,3054.235,36.2398446775156,63027.6795267153,77.2804878048781
197,URY,South America,Uruguay,2160.665,19.8476002742544,15418.8153089096,78.056
198,UZB,Asia,Uzbekistan,48.032,77.7021030291337,1749.65581532206,71.848
199,VUT,Oceania,Vanuatu,43.868,25.1968826907301,2919.83679998348,70.623
200,VEN,South America,Venezuela,204.221,32.2384706082422,,72.066
201,VNM,Asia,Vietnam,442.114,313.924542845164,3526.27457939624,75.493
202,YEM,Asia,Yemen,65.157,56.4917855181166,631.681490044125,66.181
203,ZMB,Africa,Zambia,206.182,24.7298941336311,985.132436038869,64.194
204,ZWE,Africa,Zimbabwe,348.641,38.4203877471888,1214.50982023534,61.738
